,,,,,,,,,,,,,,,,,,,,
,VERSION 4 as of 24th Oct,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Legend,,0=No access,1=Read Only,2=Create/Edit,3=Deactivate,4=Delete/ Void (if possible),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Roles,,,,,,,,,,,,,,,,,
,System Components,iDempiere Name,Clinic Admin,Cashier Lite,Cashier/ Registration Basic,Cashier/ Registration Basic + Price Editing,Cashier/ Registration Advanced,Inventory/ Pharmacy Advanced,Inventory/ Pharmacy Basic,Clinician/Nurse Basic,Clinician/ Nurse Advanced,Triage,Lab/ Radiology Basic,Lab/ Radiology Advanced,Accounting,OTC Only,Clinic User,Registration,Starter,All combinations of roles created manualy
,Patient,Patients,4,3,3,3,3,1,1,2,3,1,1,1,1,0,3,3,3,
,   Schedule Visits,Patient Bill,4,2,2,2,2,2,2,2,2,2,2,2,1,0,3,2,4,
,   Debt Payments,Service Debt,4,3,3,3,3,0,0,0,0,0,0,0,1,0,3,0,0,
,   Billing History / Manage Debt modal,,4,3,3,3,3,1,1,2,3,0,1,1,0,0,3,0,3,
,   allergies tab,,4,0,0,0,0,0,0,2,2,0,2,2,0,0,3,0,2,
,Patient Tags,,4,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,
,Supplier,Vendors,4,0,0,0,3,3,3,1,3,0,2,2,3,0,3,0,0,
,    Payments,,4,0,3,3,3,3,0,0,1,0,1,1,3,0,3,0,0,
,Products & Prices,My Products,4,0,1,1,3,3,3,1,3,0,2,2,1,0,3,1,0,
,   Price List tab,,4,0,1,1,3,3,3,0,3,0,2,2,4,0,3,0,0,
,Services & Prices,My Services,4,0,1,2,2,1,1,1,2,0,2,2,1,0,3,1,0,
,   Price List tab,,4,0,1,2,2,1,1,0,2,0,2,2,4,0,3,0,0,
,Drafted Visits/Bill,Patient Bill,4,2,2,2,2,2,2,2,2,2,2,2,1,0,3,2,4,
,   show in clinician dropdown,N/A,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
,   vitals and chief complaint field,N/A,4,0,0,0,0,0,0,2,2,2,0,1,0,0,3,0,2,
,   clinical fields within visit form,N/A,4,0,0,0,0,0,0,2,2,0,0,1,0,0,3,0,2,
,   lab / diagnostic fields within visit,N/A,4,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,2,
,   editting product sale price,N/A,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,
,   allergies,N/A,4,0,0,0,0,0,0,2,2,0,2,2,0,0,3,0,2,
,My Queue (list),Patient Bill,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
,Completed Visits (list),Patient Bill,4,2,2,2,2,2,2,2,2,2,2,2,1,0,3,2,4,
,Pharmacy Sales (OTC),,4,0,2,2,2,2,2,0,0,0,2,2,0,2,2,0,4,
,Receive Products,Receive Products,4,0,0,0,3,3,3,0,3,0,3,3,1,0,3,0,0,
,Manage Inventory (Stock Take),Stock Take,4,0,0,0,3,3,0,0,3,0,0,3,1,0,1,0,0,
,   clean expired inventory,BH Update Expired Stock Process,4,0,0,0,3,3,0,0,3,0,0,3,1,0,1,0,0,
,   reset inventory,BH Update Expired Stock Process,4,0,0,0,3,3,0,0,3,0,0,3,1,0,1,0,0,
,Transfer Inventory,,4,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,
,Expense Categories,Expense Categories,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,
,Track Expenses,Track Expenses,4,0,2 only own,2 only own,2,0,0,0,0,0,0,0,3,0,3,0,0,
,Track Income,,4,0,2,2,2,0,0,0,0,0,0,0,3,0,3,0,0,
,Non-Patient Payments,Non-Patient Payments,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,
,Manage Users,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Diagnosis,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,
,Diagnositics,,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,
,Facility Information,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Price Lists,,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
,Dashboard,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
,    Facility Overview,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
,    Financial Overview,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
,    Inventory Overview,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,
,Allergies List,,4,0,0,0,0,0,0,2,2,0,2,2,0,0,3,0,2,
,R: Patient Transactions,Patient Transactions_BH Daily Patient Transactions,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,
,R: Receipt (in visit form),BH Thermal Receipt,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
,R: Insurance Claim (in visit form),,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
,R: Patient Visit Summary (in visit form),BH Patient Visit Summary,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: Lab Report (in visit form),TBD,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,
,R: Inventory Sold,Inventory Sold Report_BH Inventory Sold Report,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,
,R: Services sold,Services Charged Report_BH Services Charged Report,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,
,R: Products and prices,Products and Prices_10000006,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,
,R: Income and Expense,Income & Expenses_10000004,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
,R: MOH 705A,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 705B,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 706,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 717,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 747A,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: Opening & Closing Stock,Value of Opening and Closing Stock_BH Value of Opening and Closing Stock ,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,
,R: Products to be ordered,Value of Opening and Closing Stock_BH Value of Opening and Closing Stock ,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,
,R: Stock to be ordered,Stock Discrepancy Report_BH Stock Discrepancy Report,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,
,R; Purchased Stocks,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,
