[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
1,ASSETS,,Asset,,,Yes,,
11,Cash,,Asset,,,Yes,,1
11100,Current Account 1,Bank Asset,Asset,,Yes,No,B_INTRANSIT_ACCT,11
11200,Current Account 2,Savings Accounts,Asset,,,No,,11
11300,Savings Accounts,,Asset,,,No,,11
11400,Mobile Money Accounts,,Asset,,,No,,11
11800,Cash Box,,Asset,,,No,,11
11900,Petty Cash (Float),,Asset,,Yes,No,CB_ASSET_ACCT,11
12,Accounts Receivable,Accounts Receivables,Asset,,,Yes,,1
121,Accounts Receivable - Clients,,Asset,,,Yes,,12
12110,Accounts Receivable - Clients,,Asset,,Yes,No,C_RECEIVABLE_ACCT,121
122,Credit Card in Transit,,Asset,,,Yes,,12
12210,In Transit A/R Credit Card other,,Asset,,,No,,122
12220,In Transit A/R Master Card,,Asset,,,No,,122
12230,In Transit A/R Visa,,Asset,,,No,,122
123,Accounts Receivable - Insurance,,Asset,,,Yes,,12
12310,A/R - NHIF National Scheme,Inventory Account,Asset,,,No,,123
12320,A/R - NHIF FFS,Product Inventory Account,Asset,,,No,,123
12330,A/R - Insurance #3,,Asset,,,No,,123
124,Loans Receivable,,Asset,,,Yes,,12
12410,Loans Receivable Employees,,Asset,,,No,,124
12420,Loans Receivable Owners/Shareholders,,Asset,,,No,,124
12440,Loans Receivable Others,,Asset,,,No,,124
12450,Interest Receivable,,Asset,,,No,,124
125,Prepayments,,Asset,,,Yes,,12
12510,Vendor prepayment,,Asset,,Yes,No,V_PREPAYMENT_ACCT,125
12520,Employee Expense Prepayment,Accounts Payables,Asset,,Yes,No,,125
126,Tax receivables,,Asset,,,Yes,,12
12610,Tax credit A/R,,Asset,,Yes,No,T_CREDIT_ACCT,126
12620,Tax receivables,,Asset,,Yes,No,,126
12900,A/R Miscellaneous,,Asset,,,No,,12
127,Accounts Receivable - Donations,Prepayments for future revenue,Asset,,,Yes,,12
12710,Donor Fund,Payments that come from capitation,Asset,,,No,,127
